Data	INCC Geral
1981.02	1,6139E-09
1981.03	1,7440E-09
1981.04	1,8031E-09
1981.05	1,8662E-09
1981.06	1,9101E-09
1981.07	1,9476E-09
1981.08	2,1889E-09
1981.09	2,3101E-09
1981.10	2,3499E-09
1981.11	2,4270E-09
1981.12	2,5025E-09
1982.01	2,5976E-09
1982.02	2,8799E-09
1982.03	3,2412E-09
1982.04	3,3799E-09
1982.05	3,5575E-09
1982.06	3,6879E-09
1982.07	3,8906E-09
1982.08	4,5497E-09
1982.09	4,7327E-09
1982.10	4,8859E-09
1982.11	5,0841E-09
1982.12	5,2048E-09
1983.01	5,4059E-09
1983.02	6,0899E-09
1983.03	6,5947E-09
1983.04	6,8634E-09
1983.05	7,3551E-09
1983.06	7,7268E-09
1983.07	8,2405E-09
1983.08	9,6305E-09
1983.09	1,0488E-08
1983.10	1,1019E-08
1983.11	1,2347E-08
1983.12	1,2957E-08
1984.01	1,3728E-08
1984.02	1,6702E-08
1984.03	1,8266E-08
1984.04	1,9063E-08
1984.05	2,0586E-08
1984.06	2,2425E-08
1984.07	2,3604E-08
1984.08	3,0121E-08
1984.09	3,1808E-08
1984.10	3,4557E-08
1984.11	3,7543E-08
1984.12	4,0608E-08
1985.01	4,3666E-08
1985.02	4,9364E-08
1985.03	5,5084E-08
1985.04	5,9930E-08
1985.05	7,3364E-08
1985.06	7,8040E-08
1985.07	8,5686E-08
1985.08	9,6936E-08
1985.09	1,0626E-07
1985.10	1,1343E-07
1985.11	1,3722E-07
1985.12	1,5576E-07
1986.01	1,7750E-07
1986.02	1,9897E-07
1986.03	2,2096E-07
1986.04	2,2023E-07
1986.05	2,2074E-07
1986.06	2,2337E-07
1986.07	2,2578E-07
1986.08	2,3185E-07
1986.09	2,4107E-07
1986.10	2,5012E-07
1986.11	2,6303E-07
1986.12	2,8234E-07
1987.01	3,2187E-07
1987.02	4,2632E-07
1987.03	5,2263E-07
1987.04	5,9195E-07
1987.05	7,1089E-07
1987.06	8,5970E-07
1987.07	9,2608E-07
1987.08	9,5673E-07
1987.09	1,0281E-06
1987.10	1,1319E-06
1987.11	1,2809E-06
1987.12	1,4587E-06
1988.01	1,7123E-06
1988.02	1,9826E-06
1988.03	2,3684E-06
1988.04	2,7715E-06
1988.05	3,4267E-06
1988.06	4,1188E-06
1988.07	4,9308E-06
1988.08	6,0099E-06
1988.09	7,5340E-06
1988.10	1,0140E-05
1988.11	1,3254E-05
1988.12	1,6928E-05
1989.01	2,2343E-05
1989.02	2,5453E-05
1989.03	2,6856E-05
1989.04	2,8499E-05
1989.05	3,3904E-05
1989.06	4,4027E-05
1989.07	0,0001
1989.08	0,0001
1989.09	0,0001
1989.10	0,0002
1989.11	0,0002
1989.12	0,0004
1990.01	0,0006
1990.02	0,0010
1990.03	0,0018
1990.04	0,0018
1990.05	0,0018
1990.06	0,0020
1990.07	0,0023
1990.08	0,0026
1990.09	0,0029
1990.10	0,0032
1990.11	0,0037
1990.12	0,0043
1991.01	0,0050
1991.02	0,0058
1991.03	0,0063
1991.04	0,0067
1991.05	0,0076
1991.06	0,0084
1991.07	0,0095
1991.08	0,0109
1991.09	0,0132
1991.10	0,0162
1991.11	0,0210
1991.12	0,0252
1992.01	0,0327
1992.02	0,0404
1992.03	0,0517
1992.04	0,0607
1992.05	0,0778
1992.06	0,0918
1992.07	0,1134
1992.08	0,1330
1992.09	0,1786
1992.10	0,2124
1992.11	0,2743
1992.12	0,3260
1993.01	0,4463
1993.02	0,5471
1993.03	0,7256
1993.04	0,8800
1993.05	1,2372
1993.06	1,5729
1993.07	2,1035
1993.08	2,7013
1993.09	3,7843
1993.10	5,0722
1993.11	7,0199
1993.12	9,3358
1994.01	13,6235
1994.02	18,9554
1994.03	29,5145
1994.04	42,9737
1994.05	62,5710
1994.06	90,5653
1994.07	99,8582
1994.08	100,0000
1994.09	100,3810
1994.10	101,7100
1994.11	104,1100
1994.12	105,4870
1995.01	109,1760
1995.02	111,4530
1995.03	115,1290
1995.04	117,7740
1995.05	128,0980
1995.06	132,0900
1995.07	133,5240
1995.08	134,3530
1995.09	135,3180
1995.10	136,4840
1995.11	137,4780
1995.12	138,6640
1996.01	140,7660
1996.02	140,9260
1996.03	142,3130
1996.04	142,6630
1996.05	145,7420
1996.06	147,9840
1996.07	149,0950
1996.08	149,4450
1996.09	149,7720
1996.10	150,1570
1996.11	151,0350
1996.12	151,9220
1997.01	152,4080
1997.02	153,1470
1997.03	154,2600
1997.04	154,6160
1997.05	155,9530
1997.06	157,6870
1997.07	158,4850
1997.08	160,3520
1997.09	160,7800
1997.10	161,0240
1997.11	161,8970
1997.12	162,2710
1998.01	162,8050
1998.02	164,3610
1998.03	164,3610
1998.04	163,5350
1998.05	165,1330
1998.06	165,7810
1998.07	166,3450
1998.08	166,7050
1998.09	166,7290
1998.10	166,7380
1998.11	166,6570
1998.12	166,7330
1999.01	167,6480
1999.02	169,2880
1999.03	170,2210
1999.04	171,1000
1999.05	172,5780
1999.06	173,2790
1999.07	174,0740
1999.08	175,2800
1999.09	176,7850
1999.10	178,5740
1999.11	180,2070
1999.12	182,0840
2000.01	184,0390
2000.02	185,4610
2000.03	186,4920
2000.04	187,6040
2000.05	190,1360
2000.06	191,5270
2000.07	192,1040
2000.08	192,8460
2000.09	193,3420
2000.10	193,9840
2000.11	194,7890
2000.12	196,0370
2001.01	197,1740
2001.02	197,8490
2001.03	198,3880
2001.04	199,1120
2001.05	203,3210
2001.06	205,6820
2001.07	206,7420
2001.08	208,0260
2001.09	209,1740
2001.10	211,1220
2001.11	212,6760
2001.12	213,3930
2002.01	214,1620
2002.02	215,3990
2002.03	216,5770
2002.04	217,2880
2002.05	222,7930
2002.06	224,0540
2002.07	224,7120
2002.08	226,9680
2002.09	228,5760
2002.10	231,1670
2002.11	236,8300
2002.12	240,8610
2003.01	244,4890
2003.02	247,8980
2003.03	251,3180
2003.04	253,5850
2003.05	260,7780
2003.06	263,5160
2003.07	266,1320
2003.08	269,9670
2003.09	270,5550
2003.10	272,3250
2003.11	275,1520
2003.12	275,5940
2004.01	276,4900
2004.02	279,2430
2004.03	282,4700
2004.04	284,1280
2004.05	289,3170
2004.06	291,3480
2004.07	294,6250
2004.08	297,0030
2004.09	298,7220
2004.10	302,2750
2004.11	304,4290
2004.12	305,9740
2005.01	308,2840
2005.02	309,6460
2005.03	311,7330
2005.04	313,9770
2005.05	320,5240
2005.06	322,9740
2005.07	323,3320
2005.08	323,3820
2005.09	324,1640
2005.10	324,7820
2005.11	325,7030
2005.12	326,9150
2006.01	328,0420
2006.02	328,6510
2006.03	329,3200
2006.04	330,5010
2006.05	334,8670
2006.06	337,8920
2006.07	339,4840
2006.08	340,2830
2006.09	340,6700
2006.10	341,3690
2006.11	342,1590
2006.12	343,4010
2007.01	344,9430
2007.02	345,6820
2007.03	346,6170
2007.04	348,1940
2007.05	352,2040
2007.06	355,4560
2007.07	356,5450
2007.08	357,4670
2007.09	359,2760
2007.10	361,1020
2007.11	362,4030
2007.12	364,5250
2008.01	365,9060
2008.02	367,3820
2008.03	369,8120
2008.04	373,0310
2008.05	380,5820
2008.06	387,9060
2008.07	393,5560
2008.08	398,2020
2008.09	401,9750
2008.10	405,0900
2008.11	407,1090
2008.12	407,8070
2009.01	409,1660
2009.02	410,2620
2009.03	409,2160
2009.04	409,0420
2009.05	414,7420
2009.06	417,6570
2009.07	418,7570
2009.08	418,5280
2009.09	419,1470
2009.10	419,4050
2009.11	420,6350
2009.12	421,0510
2010.01	423,7400
2010.02	425,2680
2010.03	428,4760
2010.04	432,0790
2010.05	439,9140
2010.06	444,7180
2010.07	446,6880
2010.08	447,2960
2010.09	448,2220
2010.10	449,1030
2010.11	450,7630
2010.12	453,7660
2011.01	455,6190
2011.02	456,9170
2011.03	458,8870
2011.04	463,7660
2011.05	477,4050
2011.06	479,1830
2011.07	481,3300
2011.08	481,9660
2011.09	482,6580
2011.10	483,7580
2011.11	487,2210
2011.12	487,7490
2012.01	492,1060
2012.02	493,5840
2012.03	496,0790
2012.04	499,7910
2012.05	509,1840
2012.06	512,9030
2012.07	516,3180
2012.08	517,6570
2012.09	518,8160
2012.10	519,9070
2012.11	521,6380
2012.12	522,4740
2013.01	525,8500
2013.02	529,0290
2013.03	531,6910
2013.04	535,6010
2013.05	547,6550
2013.06	553,9480
2013.07	556,6000
2013.08	558,3400
2013.09	560,7670
2013.10	562,2410
2013.11	564,2010
2013.12	564,7650
2014.01	569,7200
2014.02	571,5770
2014.03	573,1560
2014.04	578,2240
2014.05	590,0990
2014.06	594,0130
2014.07	598,4410
2014.08	598,8980
2014.09	599,8230
2014.10	600,8650
2014.11	603,5240
2014.12	604,0260
2015.01	609,5680
2015.02	611,4470
2015.03	615,2480
2015.04	618,0600
2015.05	623,9510
2015.06	635,4030
2015.07	638,8800
2015.08	642,6440
2015.09	644,0460
2015.10	646,3550
2015.11	648,5420
2015.12	649,2160
2016.01	651,7590
2016.02	655,2630
2016.03	659,4460
2016.04	663,0570
2016.05	663,6100
2016.06	676,4200
2016.07	679,7510
2016.08	681,7560
2016.09	684,0250
2016.10	685,4890
2016.11	686,6070
2016.12	688,9650
2017.01	691,7920
2017.02	696,3140
2017.03	697,4100
2017.04	697,2440
2017.05	701,6640
2017.06	708,1970
2017.07	710,3550
2017.08	712,8840
2017.09	713,3300
2017.10	715,5270
2017.11	717,7510
2017.12	718,2760
2018.01	720,4950
2018.02	721,4140
2018.03	723,1630
2018.04	725,2450
2018.05	726,9230
2018.06	733,9840
2018.07	738,4870
2018.08	739,5800
2018.09	741,3050
2018.10	743,8660
2018.11	744,8650
2018.12	745,8560
2019.01	749,5170
2019.02	750,1800
2019.03	752,5240
2019.04	755,3730
2019.05	755,6250
2019.06	762,3040
2019.07	766,6990
2019.08	769,9510
2019.09	773,5200
2019.10	774,9390
2019.11	775,2250
2019.12	776,8390
2020.01	779,7660
2020.02	782,3360
2020.03	784,3380
2020.04	786,0700
2020.05	787,6660
2020.06	790,3310
2020.07	799,5890
2020.08	805,3560
2020.09	814,7010
2020.10	828,7780
2020.11	839,3820
2020.12	845,2680
2021.01	852,8090
2021.02	868,9290
2021.03	880,2650
2021.04	888,1910
2021.05	907,8990
2021.06	927,5120
2021.07	935,3590
2021.08	939,6990
2021.09	944,5200
2021.10	952,5960
2021.11	959,0010
2021.12	962,3210
2022.01	969,1840
2022.02	972,9040
2022.03	981,2440
2022.04	990,5430
2022.05	1.013,1640
2022.06	1.034,8240
2022.07	1.043,7600
2022.08	1.044,6790
2022.09	1.045,6160
2022.10	1.046,8960
2022.11	1.050,7010
2022.12	1.051,6320
2023.01	1.056,4180
2023.02	1.056,8960
2023.03	1.060,1160
2023.04	1.061,6350
2023.05	1.067,9190
2023.06	1.075,5400
2023.07	1.076,6260
2023.08	1.078,4120
2023.09	1.082,1040
2023.10	1.084,2420
2023.11	1.084,9860
2023.12	1.088,3120
2024.01	1.091,2500
2024.02	1.092,6850
2024.03	1.095,7380
2024.04	1.101,3890
2024.05	1.110,8870
2024.06	1.118,8270
2024.07	1.126,9160
2024.08	1.134,7750
2024.09	1.141,3980
2024.10	1.149,1700
2024.11	1.153,7250
2024.12	1.159,5360
2025.01	1.169,1160
2025.02	1.173,7750
2025.03	1.178,3860
